Tweet,Sentiment
powerful narendra modi,"""positive"""
latimes biz story puff piece digital india ten paras launch comes india,"""neutral"""
hate inc right bjd bjp like modi dnt became enemy,"""negative"""
talk gujarat journalist talk kashmiri pundits malda dhulagarh,"""negative"""
jesus divided time bc ad divided time achhedin,"""positive"""
people misused demonetisation,"""positive"""
ppl voted modi feel proud ppl voted kejriwal cry everyday feel,"""positive"""
modi current position business men india,"""negative"""
tight slap pm modi taught bjp lesson giving votes,"""positive"""
modi,"""positive"""
remember neolibs told us worry pretty little heads despite record guj,"""positive"""
mamata govt barred opposition paies including congress left bjp visiting dhulagarh,"""negative"""
modi address nation new eve load cash petrol food,"""positive"""
modi altered political landscape profoundly people initially imagined writes,"""positive"""
mohalla clinics made cashless much modi cud ever think mohalla clinics free dude,"""positive"""
army bsnl cisco allegedly paner cr scam,"""neutral"""
btw sk told ndtv today media usa india leftist honest frankly speaking mr,"""positive"""
mohalla clinics made cashless much modi cud ever think mohalla clinics free dude,"""positive"""
modi bhaiyon beheno ab se sunday working day,"""positive"""
modi deposited says maha congress cheif pm wants announce,"""neutral"""
political pay creates abusive social media campaigns breeds internet trolls claims googleales,"""neutral"""
right wing keeps blasting etc reason book tells us bjp cell,"""positive"""
bjp cannot investigate allegations amit shah modi wants sue congress making,"""positive"""
pm narendra modi choose people punish lalu prasad,"""neutral"""
pa bjp claimed bjp cheerleaders pa select group modi follows,"""positive"""
way presstitutes remain relevant use name else no1gona even read,"""neutral"""
modi must first man friendzone entire country mitron,"""positive"""
moved black money goalpost hidden,"""negative"""
modi altered political landscape profoundly people initially imagined writes,"""positive"""
prime minister narendra modi likely address nation dec times,"""positive"""
chetan bhagat asked people suppo narendra modi indian express,"""positive"""
see fake bhakt id shows category modi followers jaisa modi waise uske followers fake,"""neutral"""
meaningful whatsapp image forward representing greatest alliance modi,"""positive"""
deliver impoant speech eve december challenge accepted,"""positive"""
nidhi prayas govt commits rs narendra staup india vision via nmapp,"""neutral"""
army bsnl cisco allegedly paner cr scam,"""neutral"""
change come may ge good least better fekujumlebaaz,"""positive"""
upon time modi expected flub foreign policy ace economics instead opposite,"""positive"""
ppl voted modi feel proud ppl voted kejriwal cry everyday feel,"""positive"""
best economists remain confused modi wondering best economists bibek bhagwati,"""negative"""
style quotient et staup ties modi jacket look via,"""neutral"""
wth reduction impo duty wheat available cheaper local wheat every step modi,"""neutral"""
pm modi warns black money hide days get,"""positive"""
suppomodi narendramodi pm modi warns black money hide days get,"""positive"""
pm modi warns black money hide days get,"""positive"""
modi ji name abhishek chakraboy want manufacture industrial supplies contribute growth country,"""negative"""
india pm modi warns black money hide days get,"""positive"""
deliver impoant speech eve december challenge accepted,"""positive"""
still fails understand bjp center power modi bjp silent accepted expected,"""negative"""
new caution investments subject modi risks please listen speeches carefully,"""neutral"""
watch video aap punjab cm candidate,"""positive"""
mr modi please quit chair favour bharatmata failed badly easing cash flow aam,"""neutral"""
new caution investments subject modi risks please listen speeches carefully,"""neutral"""
pm modi warns black money hide days get december,"""positive"""
pm narendra modi likely address nation notes ban new year ndtv,"""neutral"""
november prime minister narendra modi directed bjp mps mlas,"""positive"""
salient points pm narendra modi made conversation wid raj chengappa editorial director indiatoday group,"""positive"""
india deserves modi hv stooped low modi coming back karma,"""negative"""
